Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.6475925296617,46.682305997391,46.7170194651203,46.7528291476199,46.7882734251961,46.8237177027723,46.8577003606547,46.8924138283839,46.9223770321081,46.9581867146078,46.9932655872605,47.031267699301,47.8254753004542,49.0903244430315,50.3518849412977,51.5600963207378,52.6303673415696,52.7136796641198,52.5423047550143,53.8902835176801,54.1826074564529,54.5381464469852,54.5180491761946,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.2650247972612,60.6820873957018,59.9151295835882,61.0624422373508,60.3137081342827,60.557515327441,60.1642737201099,60.370722309725,59.0616091535087,59.2921390729339,59.3181729429988,58.1856995951733,57.2094294677375,57.2888327714356,57.9447561277222,56.6139046900017,55.3804199263241,54.3181078583237,53.2430391939914,51.8828996524478,53.3268161878604,52.7802871535868,51.6271559298648,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,42.6132235408089,42.2862678614677,41.8018890772584,41.777670138048,41.5596996851538,41.4870428675224,41.3780576410753,41.3417292322596,40.6151610559457,40.8452409784451,40.7980140469847,40.7859045773795,40.7971663841124,39.4187454589489,39.4363041898765,39.1792201501574,39.165637336821,38.7730388238998,38.6818616705623,38.5752352805804,38.5300530561814,38.350012115338,38.2216379299899,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,,,,,,,,,,45.9048877146631,45.8718626155879,45.9379128137384,46.0369881109643,46.003963011889,45.7397622192867,45.6406869220608,45.2113606340819,45.1783355350066,44.8480845442536,44.8150594451783,44.1215323645971,44.0224570673712,44.1380449141347,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,29.305682843312,29.5172131598657,29.8467123068051,30.080616022225,30.9245836992441,30.990028882024,31.0554740648039,31.1207996037396,31.1982091709399,31.2756187381403,31.5219654133575,31.8094695709811,32.1206632097572,32.5589186110785,32.5948835506464,32.6369263974999,32.4998145520415,32.7225913899504,32.7273771437186,32.7181645677148,32.9466843101456,32.9746809696894,33.3576728793727,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,7.45069835520058,7.45740643601866,7.46400454829873,7.47060266057881,7.47720077285889,7.48390885367696,7.47170234595882,7.45960580677868,7.44739929906054,7.4353027598804,7.42309625216226,7.42474578023227,7.4267252139163,7.42848471052432,7.43046414420834,7.25286495533628,7.17901008521462,7.10515521509296,7.0314103135093,6.95755544338765,6.88370057326599,7.1860040842315,7.17555707312138,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chile,CHL,21.23513177644,20.9217626141175,20.8155129839738,20.7791998192411,20.6178079759849,20.4860046373256,20.4725553170543,20.4685205209729,20.2546763286583,20.3219229300151,20.3757202111005,20.9338670023617,20.7455765185628,21.4314918524018,21.364245251045,21.2499260287385,21.1638503790018,21.2176476600873,21.2310969803586,21.1732649031918,21.1953217884368,21.2620035183422,21.2243723202229,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,54.4701089127367,54.7827337363193,55.1991052645594,55.6901445956382,55.6902039146848,55.6944173715386,55.7435214092539,55.7808021320313,55.7222181390954,55.6019138878296,55.3795417237072,55.2323417623281,54.9767049909297,55.0086611269185,55.1151817857369,54.7636794799913,54.8100176872893,54.8079938724853,54.8084187711588,54.8080992214598,54.8084187711588,54.8084187711588,54.8084187711588,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Czech Republic,CZE,,,55.4160735084768,55.441956774945,55.3901902420085,55.3901902420085,55.3901902420085,55.441956774945,55.4160735084768,55.3901902420085,55.3643069755403,55.2866571761356,55.2478322764333,55.2032099404608,55.1384933989128,55.0679611650485,55.0032362459547,54.9385113268608,54.873786407767,54.8161574313827,54.7514241325738,54.706720186456,54.6290301696232,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Denmark,DNK,65.3456003774475,64.9540419514495,64.5533820410087,63.4221069997643,64.2469950506717,64.0113127504124,63.3514023096865,62.9743106292717,62.3144001885458,62.3851048786236,63.0685835493754,62.8093330190903,62.6443554089088,62.3615366485977,63.7991986801791,63.8699033702569,62.7621965590384,62.880037709168,62.0787178882866,61.8901720480792,63.3985387697384,61.8430355880273,61.4895121376385,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Finland,FIN,7.96086542565416,7.90078466134804,7.825929938606,7.91851341147116,7.36728060671723,7.2819199579763,7.05866903050002,7.19655930923537,7.22742046685709,7.2819199579763,7.2950523654749,7.34101579172002,7.37384681046653,7.39682852358909,7.46511704258183,7.56568346979711,7.54677891413726,7.55643303718328,7.55676209279368,7.54162553471537,7.52443318305966,7.51949718648195,7.43196551383724,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,France,FRA,55.673471325831,55.4897491809207,55.3199066413912,55.1621174433767,55.0622208099115,54.963785187539,54.860236026342,54.7513906999339,54.6584338691592,54.5327869151847,54.3815722670874,54.2298097398305,54.1123809732525,54.0395130450028,53.9877199775,53.6812673041661,53.4701473456596,53.0976683705989,52.9988658714983,52.7660134013445,52.7406096534242,52.6819660275293,52.549232317366,,
